"","name","pos","sourceName","season","positionRank","overallRank","points","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"1","JULIOJONES","WR",NA,2015,1,1,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,121,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DEVONTAFREEMAN","RB","espn",2015,1,1,24.27,0,0,0,0,0,0,21.3,90.5,0.8,4.8,44.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANTONIOBROWN","WR","espn",2015,1,2,23.06,0,0,0,0,0,0,0.3,1.7,0,8.2,110.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ROBGRONKOWSKI","TE",NA,2015,1,2,21.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,94.9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DEMARYIUSTHOMAS","WR","espn",2015,2,3,20.67,0,0,0,0,0,0,0,0,0,7.7,99.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","JULIANEDELMAN","WR",NA,2015,2,3,20.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,88.4,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","JULIOJONES","WR","espn",2015,3,4,20.31,0,0,0,0,0,0,0,0,0,7.3,94.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANTONIOBROWN","WR",NA,2015,3,4,19.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,93.4,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","DEVONTAFREEMAN","RB",NA,2015,1,5,19.43,NA,NA,NA,NA,NA,NA,15.3,77.1,0.6,4.1,35.2,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","DEMARYIUSTHOMAS","WR",NA,2015,4,6,19.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,97.5,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ODELLBECKHAM","WR","espn",2015,4,5,19.02,0,0,0,0,0,0,0.3,1.7,0,6.6,86.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ODELLBECKHAM","WR",NA,2015,5,7,18.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,81.5,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","DIONLEWIS","RB",NA,2015,2,8,18.86,NA,NA,NA,NA,NA,NA,10,44,0.5,4.8,51.6,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","RANDALLCOBB","WR","espn",2015,5,6,18.74,0,0,0,0,0,0,0.5,3.1,0,6.6,88.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AJGREEN","WR",NA,2015,6,9,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,88,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
